2019-06-29 13:55:05,399: 'a'
2019-06-29 13:55:05,538: 's'
2019-06-29 13:55:05,663: 'a'
2019-06-29 13:55:05,811: 's'
2019-06-29 13:55:05,954: 'a'
2019-06-29 13:55:06,027: 's'
2019-06-29 13:55:06,184: 'a'
2019-06-29 13:55:06,265: 's'
2019-06-29 13:55:06,801: Key.enter
2019-06-29 13:55:10,081: 'c'
2019-06-29 13:55:10,161: 'a'
2019-06-29 13:55:10,321: 't'
2019-06-29 13:55:10,920: Key.space
2019-06-29 13:55:11,167: Key.tab
2019-06-29 13:55:12,904: 'k'
2019-06-29 13:55:13,012: 'e'
2019-06-29 13:55:13,192: Key.tab
2019-06-29 13:55:13,794: Key.enter
2019-06-29 13:55:25,548: Key.ctrl
2019-06-29 13:55:25,774: 'c'
2019-06-29 13:59:10,317: Key.ctrl
2019-06-29 13:59:10,577: 'c'
