2019-06-29 13:47:06,487: 'j'
2019-06-29 13:47:06,622: 'h'
2019-06-29 13:47:06,733: 'j'
2019-06-29 13:47:06,767: 'h'
2019-06-29 13:47:06,977: 'h'
2019-06-29 13:47:07,703: 'j'
2019-06-29 13:47:08,733: Key.enter
2019-06-29 13:47:13,703: 'l'
2019-06-29 13:47:13,774: 's'
2019-06-29 13:47:13,931: Key.enter
2019-06-29 13:47:14,324: 'c'
2019-06-29 13:47:14,401: 'a'
2019-06-29 13:47:15,175: 't'
2019-06-29 13:47:15,712: Key.space
2019-06-29 13:47:16,786: 'l'
2019-06-29 13:47:16,969: 'o'
2019-06-29 13:47:17,285: 'g'
2019-06-29 13:47:17,403: 'g'
2019-06-29 13:47:17,649: Key.tab
2019-06-29 13:47:18,342: Key.enter
2019-06-29 13:47:36,042: Key.backspace
2019-06-29 13:47:36,678: Key.ctrl
2019-06-29 13:47:36,907: 's'
2019-06-29 13:47:41,729: 'f'
2019-06-29 13:47:41,917: 'r'
2019-06-29 13:47:42,055: 'o'
2019-06-29 13:47:42,300: 'm'
2019-06-29 13:47:42,608: Key.space
2019-06-29 13:47:44,125: 'p'
2019-06-29 13:47:44,507: 'y'
2019-06-29 13:47:44,786: 'n'
2019-06-29 13:47:46,226: Key.enter
2019-06-29 13:47:48,230: '.'
2019-06-29 13:47:48,478: 'k'
2019-06-29 13:47:48,597: 'e'
2019-06-29 13:47:48,794: 'y'
2019-06-29 13:47:49,240: Key.enter
2019-06-29 13:47:50,907: Key.space
2019-06-29 13:47:51,290: 'i'
2019-06-29 13:47:51,760: 'm'
2019-06-29 13:47:52,011: 'p'
2019-06-29 13:47:52,176: 'o'
2019-06-29 13:47:52,330: 'r'
2019-06-29 13:47:52,549: 't'
2019-06-29 13:47:52,976: Key.space
2019-06-29 13:47:54,178: Key.shift
2019-06-29 13:47:54,372: 'K'
2019-06-29 13:47:54,546: 'e'
2019-06-29 13:47:54,745: 'y'
2019-06-29 13:47:55,343: ','
2019-06-29 13:47:56,318: Key.shift
2019-06-29 13:47:56,652: 'L'
2019-06-29 13:47:56,825: 'i'
2019-06-29 13:47:56,956: 's'
2019-06-29 13:47:57,500: Key.enter
2019-06-29 13:47:58,866: Key.enter
2019-06-29 13:48:01,245: 'i'
2019-06-29 13:48:01,477: 'm'
2019-06-29 13:48:01,730: 'p'
2019-06-29 13:48:01,847: 'o'
2019-06-29 13:48:02,005: 'r'
2019-06-29 13:48:02,223: 't'
2019-06-29 13:48:02,540: Key.space
2019-06-29 13:48:02,912: 'l'
2019-06-29 13:48:03,081: 'o'
2019-06-29 13:48:03,360: 'g'
2019-06-29 13:48:03,499: 'g'
2019-06-29 13:48:03,671: 'i'
2019-06-29 13:48:03,953: 'n'
2019-06-29 13:48:06,819: Key.enter
2019-06-29 13:48:08,275: Key.enter
2019-06-29 13:48:08,443: Key.enter
2019-06-29 13:48:10,030: 'l'
2019-06-29 13:48:10,195: 'o'
2019-06-29 13:48:10,503: 'g'
2019-06-29 13:48:11,237: Key.shift
2019-06-29 13:48:11,438: '_'
2019-06-29 13:48:11,662: 'd'
2019-06-29 13:48:11,964: 'i'
2019-06-29 13:48:12,068: 'r'
2019-06-29 13:48:12,977: Key.space
2019-06-29 13:48:13,723: '='
2019-06-29 13:48:14,198: Key.space
2019-06-29 13:48:15,677: 'r'
2019-06-29 13:48:17,066: Key.shift
2019-06-29 13:48:17,264: '"'
2019-06-29 13:48:17,412: '"'
